0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
97,18,0,0,0,0,7,4,0,0,0,0,0,0,0,0,130
194,54,0,0,0,4,52,24,0,0,0,2,0,0,0,0,130
254,99,1,0,4,16,125,54,0,0,0,9,0,0,0,0,130
254,148,3,0,9,33,206,86,0,0,1,17,0,0,0,0,130
254,197,5,0,16,54,254,119,0,0,3,27,0,0,0,0,130
254,246,7,0,24,78,254,152,0,0,4,38,0,0,0,0,130
254,254,10,0,32,103,254,184,0,0,5,49,0,0,0,0,130
254,254,13,0,42,129,254,215,0,0,7,60,0,0,0,0,130
254,254,15,0,51,152,254,233,0,0,8,66,0,0,0,0,130
254,254,16,0,56,170,254,243,0,0,8,71,0,0,0,0,130
254,254,17,0,56,184,254,246,0,0,9,78,0,0,0,0,130
254,254,17,0,57,186,254,245,0,0,10,81,0,0,0,0,130
254,254,17,0,58,189,254,244,0,0,10,85,0,0,0,0,130
254,254,17,0,60,191,254,243,0,0,10,88,0,0,0,0,130
254,254,18,0,61,193,254,242,0,0,11,91,0,0,0,0,130
254,254,18,0,62,194,254,242,0,0,11,93,0,0,0,0,130
254,254,18,0,64,195,254,241,0,0,12,94,0,0,0,0,130
254,254,19,0,64,196,254,242,0,0,12,95,0,0,0,0,130
254,254,19,0,64,196,254,243,0,0,12,96,0,0,0,0,130
254,254,20,0,64,197,254,243,0,0,12,96,0,0,0,0,130
254,254,20,0,64,197,254,242,0,0,12,96,0,0,0,0,130
254,254,20,0,64,197,254,242,0,0,12,95,0,0,0,0,130
254,254,20,0,63,197,254,242,0,0,12,95,0,0,0,0,130
